uuid,name,description,java_class_name,concept_classes,parent
131168f4-15f5-102d-96e4-000c29c2a5d7,Drug Order,An order for a medication to be given to the patient,org.openmrs.DrugOrder,,
52a447d3-a64a-11e3-9aeb-50e549534c5e,Test Order,Order type for test orders,org.openmrs.TestOrder,,
